39452 50 20056120100000 15230730288222039520707302882220395207
3452001100902522220294190055110160140100 240  095                 03570318
3452002104703221823277190055085150135100 250  120                 03310292
3452003109101519721263200048090160145085 240  115                 02830249
3452004109200020212257220055110180160105 140  130                 03380313
3452005110103724630305230065125190170130 250  080130              05010439
3452006114601819518250190055115150135080 240  050080              02760246
3452007116504525229305210060115170160135 377  060085              04880429
3452008120004519826271200060110160145080 240  110                 02860246
3452009121201324322314190031125160145115 247  050075              04340387
3452010125001823821334220010110190170140 350  055140              04590414
3452011125500623420324220055120180160125 140  070120              04490406
3452012129102722120298210055110180160120 240  085120              03810342
3452013130204824127307220003125190160125 397     085              04680413
3452014135902622523298220048120180150110 250  050110              04090365
3452015138300820924245190015095150130085 245  050075              03050266
3452016138904727431380230021135190170135 380     135              06310558
3452017142100223730315200020095160145095 240  060095              04040350
3452018142502518725235190020110160130060 230  040060              02450210
3452019144404923427292200060105170150120 260  080120              04020352
3452020147203918320243170021105150130055 236     055              02190190
3452021102206614617192160060100115080010 130  040                 01320113
3452022105805627229360220017140190170145 390  075145              06070538
3452023108107117816234210085120170150040 137     040              02500224
3452024109809218023238200075120160140070 147     070              02390207
3452025113106322024292210055130180160120 250  145                 03790335
3452026116109224121313210035135180160125 376  050125              04650419
3452027119805724133321210010120180160120 260  060120              04410379
3452028125605723023290220014125190170125 350  125                 04310384
3452029130107518025229220060135180150070 250  115                 02580222
3452030133306927231340240050135200180150 380  075140              06420569
3452031136505227234340230023145200180160 370     160              06210543
3452032139408619315253210021130170150095 147     095              02990272
3452033140709521825278210060115170150110 150  135                 03660321
3452034146108026429378220015125190170140 397     070              05630498
3452035149007328133367220011115190170145 350     145              06280552
3452036100812020816260210055140170150115 255  065115              03510319
3452037103710620320292220055135180160110 240  140                 03390303
3452038104813526735366230055140190170140 390  095140              05930516
3452039107910527334381220070135190170145 360  090145              06000524
3452040112710528631337210009135180160145 477     145              06440569
3452041114014225917349210050120170150115 252     070              05390494
3452042118413419015238200055130160145085 240  125                 02790253
3452043120310624924313220045125190170130 250  095130              05060453
3452044121612022820305220065150190170135 360  140                 04370394
3452045123110222432310210060135180160120 390  070120              03850329
3452046126313323530311200050125170150120 250  130                 04090354
3452047126310021218268210029140170150100 260  130                 03620327
3452048129610822022291200023130170150115 350     115              03680327
3452049131910515620213180060120150120035 130  080                 01660142
3452050132914922523276200055125170150125 357     125              03830339
3452051135810318020260210060130170145070 140  115                 02540223
3452052135814727337337220012135190170140 280     140              05950514
3452053138513322829299210050130170150105 360  085105              04020348
3452054142113626725354230016125200180145 370  055145              06030543
3452055145214122722304210055130180160120 367     120              04080364
3452056148611326128324210015120180160120 350  050120              05300468
3452057100316919623287200060120170145075 240  070                 02860249
3452058102318421122277210080125180160115 260  125                 03490309
