39553 50 40123230001000     0635761300119930006357613001199300
3553001203302634519445340010160          360  139179              16151435
3553002207700327816456310015220          238  160                 10420924
3553003209603331718385330025200          240  163203              13811225
3553004313001630332432310145200          465                      09890819
3553005215303840021596320019160          248  122193              19041702
3553006220103637420467330003180          240  124174              17881595
3553007222703127618382310018160          230  133                 10030876
3553008224301519814235270018135          130  064                 04870421
3553009224404932018442320015190          340  178                 13431192
3553010228600524515398260017150          230  119                 06580579
3553011231000338421589330014095          230  095160              17931592
3553012231902221514289290020090          138  073                 05980522
3553013233404230217431300021210          230  139                 11391012
3553014235501030617400300007200          230  160                 11581030
3553015238603523415334260013135          230  113                 06060530
3553016239001038421551330007210          340  128198              18931687
3553017239302723818316290017110          230  109                 07090608
3553018245800937020572320008085          240  131171              16151435
3553019246003421414305250016145          238  093                 05020438
3553020205206336420420350008230          340  182222              18821676
3553021206509625915391270036180          230  128                 07670679
3553022209406429417376320005170          230  138                 11621027
3553023211706025715381290006130          230  126                 08090715
3553024215007041818602310006200          340  157197              20131832
3553025217406520013302270012190          230  078                 05080444
3553026219707135519518300015180          230  177                 14621305
3553027222006622614333250013120          120  081                 05410474
3553028224407726016406300003190          230  164                 08860779
3553029226508537320522330015200          354  176216              17971604
3553030229707330817499300016180          238  186                 11591031
3553031235406628717442290045210          230  167                 10050889
3553032235409021514305240016140          231  103                 04790418
3553033237409536420522330014150          240  190230              16881500
3553034240108340216527330022210          244  190230              20411867
3553035239705124115357270019190          222  118                 06860603
3553036245406842422602350016190          350  166206              23702121
3553037242405824615341270018160          230  098                 06980615
3553038249608322514298250048095          248  080                 05290464
3553039200210634719438340015220          340  220                 16731490
3553040200214726616411310014190          230  137                 09580845
3553041207314833219503320020220          230  185                 14451282
3553042207713117412264220020150          121                      03050265
3553043210614826218370310017230          230  150                 09520828
3553044211814430617522310023190          230  180                 12001067
3553045214210527816383250005170          230  118                 07810693
3553046219513233919554320019190          230  176216              14741309
3553047221913527216402320002190          230  167                 10350914
3553048222011530017423330041230          238  177                 12801137
3553049227112034019464310016190          340  170210              14241266
3553050241512228917422290021145          230  145                 09850869
3553051205617533819427350018190          230  164204              16431458
3553052207717134019388360009170          230  163203              17071514
3553053211018831418407330054210          230  210                 13661211
3553054213018422814341300014190          124  103                 07180632
3553055216417828017444310021200          230  168                 10450921
3553056218617030617398320017160          340  148                 12331095
3553057223315236620528340026190          350  166206              18001603
3553058226218622114326260020140          238  108                 05540485
3553059226918920813291280015180          238  103                 05640495
3553060228516634019483320033190          340  190                 14811316
3553061229119919013262220017120          231  076                 03470301
3553062135715430230373280070240          358     062              09740879
3553063238515521914340240011160          238                      04990437
3553064249015916512224200036120          230                      02440210
3553065204223742222569340008180          240  150204              22602021
3553066206021031418450310014180          340  156                 12461104
3553067208523728017442310036210          230  166                 10500925
3553068212022435720583330010220          340  170210              16881501
3553069216623333619522340018220          344  163203              15881410
3553070216724337420464340020210          230  210250              18811679
3553071220024738221572350035220          350  193233              20261804
3553072220721929218446300019200          230  160                 10730944
3553073228024018213267220015130          230  040                 03250281
3553074228020737424555320018190          340  190230              17301516
3553075230522142223525320023150          240  150190              20701843
3553076238220335519544290044140          230  148                 13741225
3553077245423441422505330027170          340  179219              21021877
3553078247923726816396270002135          234  131                 07920698
3553079200525933019458330021180          234  163                 14611293
3553080202628540421525350050190          240  189229              21911960
3553081205828428816521320013210          230  150                 11441017
3553082207526619513272280019190          120  040                 05110446
3553083209427625015298290019240          238                      08150720
3553084216527528617432330019210          230  203                 11771039
3553085212126634219467320027190          240  168                 14951330
3553086213326027616422320008240          230  168                 10820958
3553087220328028417411330046230          230  205                 11731035
3553088223229622414306280013190          230  111                 06380561
3553089224725534019481330021200          340  118196              15461374
3553090224826231818403330013210          230  191                 13941237
3553091226726635819467320012180          340  156196              16031432
3553092230529419813243200010130          230  060                 03330291
3553093240728223215310190018090          238  090                 03980347
3553094241025440821562330015170          350  164204              20521837
3553095347225430142410250175200          578                      07770605
3553096249627220213280210035075          240  068                 03520307
3553097205034624215294280019110          230  103                 06950610
3553098205232125415381280034070          230  117                 07360648
3553099207331232818476330023200          330  145185              14591298
3553100212932128414445320022210          340  183                 11181005
3553101214434526316360300019210          230  158                 09100802
3553102216031921214386290018180          230  103                 06090532
3553103217330126816404320028210          230  167                 10190900
3553104221730932018452320008230          340  165                 13671215
3553105227532332418446330026180          340  153193              14181260
3553106229033434919485330030200          350  171211              16131437
3553107231330937420539320009180          350  167207              17221537
3553108232534217412258250018170          128                      03630316
3553109233031134419527330042160          240  184                 15481375
3553110237334942022563320031190          340  153193              20951875
3553111241133448224611340020160          360  153203              27882504
3553112243132422013276190018115          230  100                 03710327
3553113202735418413326250016140          238                      03920339
3553114204040038221603330045100          230  160210              17821582
3553115204137142022576350038200          340  200240              23442097
3553116207235130217490330042210          344  181                 12831139
3553117214637828217446310021200          240  193                 10570932
3553118217436440421593330029220          340  190230              20671852
3553119220638928417416310044170          230  183                 10550930
3553120221437329017391260044200          232  207                 08930791
3553121222135520413276280012160          128  040                 05420475
3553122222639542929606350023200          340  180240              24272114
3553123226236118213249250012170          120  056                 03910338
3553124229436021614276260003180          238  091                 05450477
3553125231938933219393340020200          240  193                 15451369
3553126232037133219533310047200          230  163203              13771221
3553127240839729217405280055170          230  162                 09710859