20940 118012083      001100302113214178105008030068045     373709707604134073061
20940 118012083      002203702512814216110000006055032     001609806404335071057
20940 118012083      003103404906407089055030030002000     004101501002118011009
20940 118012083      00410560480780922008000904302300010053175403102303126022017
20940 118012083      00510560491311422010501004506704410043373409607504134074062
20940 118012083      00610720251852027114000804010408710071302721717405545179153
20940 118012083      00710840350991113408500804104201420061104304903703327036029
20940 118012083      008109200707108096075005025013000     001602401802924017013
20940 118012083      00910930230540607407001703000000010071004101300902722009007
20940 118012083      010112702909711121090005029043013     101705003903529035029
20940 118012083      011114501106307098075017030002000     003502001402924013011
20940 118012083      012116401305807098080005024000000     003101801203126011009
20940 118012083      013118101708710112080005023032003     001703802803126026021
20940 118012083      014122100307509104080008020019000     071702902203126019015
20940 118012083      01512460251311415812001403707705010161243710908504738080068
20940 118012083      01612480452052228814000305010709310151602725520405545223191
20940 118012083      017104607213615193115008037075051     201711008604537083070
20940 118012083      018106009609310129080006029036008     103604203203126030024
20940 118012083      01910780570861011910001304503900310201003204603403932030025
20940 118012083      02010780721721823413000904309507610191402718114305142147126
20940 118012083      021209206108710127075001015020007     273303602302924025019
20940 118012083      022109308506608089055020027004000     004201501102118012009
20940 118012083      023110807005507079042011025000000     001100800501613007005
20940 118012083      024112909111412162110008035064034     101708006204335057048
20940 118012083      02511500531611722712000703908506610261303715011904738121103
20940 118012083      02611620691251414712000104007504610251203710107904738073061
20940 118012083      02711720931882024414000904510508820282402722317805545186160
20940 118012083      02811820911421517613501505009106410272373413910905343104089
20940 118012083      029121005715316202095007031066050     401711008603730092076
20940 118012083      030122407705507074050018018000000     071101000702016008006
20940 118012083      031101010314516178105010026071051     601711108804134087072
20940 118012083      032104114908610100080002026031003     101603702703126025020
20940 118012083      033105312306007084065016024000000     001501501102521011008
20940 118012083      034107410707208072080017030015000     003302601903126018015
20940 118012083      035107712208810104075004024030004     003603602702924025020
20940 118012083      036108714807909109080018025024000     001603102303126021017
20940 118012083      037111012508910123085017030035005     001704203103327029023
20940 118012083      038212311005907083050001012002000     024101200902016008006
20940 118012083      03911631221361521812001003407905420402573511509004738085072
20940 118012083      04011681081771922914000405510308420392403520316105545167144
20940 118012083      041118514706107093060005025000000     004201401002319011008
20940 118012083      04211931081251416711501804807204410431353209707604537071060
20940 118012083      04312051011581721713501204509507310421302716513005343128109
20940 118012083      044121013611913150120015042072041     203609407204738066056
20940 118012083      045124114607308110085014035018000     003202902103327019016
20940 118012083      046101317012213155115010050070042     103709307204537069058
20940 118012083      047102418513214183120010049077051     103711008604738083070
20940 118012083      048103919610111135095008037048018     103405704403730040033
20940 118012083      049105816513014160110011033070045     151709907704335073062
20940 118012083      050105918505907073075020030000000     004101701202924012009
20940 118012083      05110761931111214509500603305402710651103706705103730048040
20940 118012083      05211071540881012509001203103700510532004204303203529029024
20940 118012083      05311141682072224414001504610809310522502725920705545226194
20940 118012083      054112715611212158120030050068035     103408506604738060050
20940 118012083      05511391842322430212000604109508510562503526421404738253215
20940 118012083      05611471941741825014001504110208310552403719715705545159137
20940 118012083      057115515219621236130006050098084     572722117705142193165
20940 118012083      058117119713014145115007032073048     103710408104537076064
20940 118012083      059118619810812143125010032069032     003708406404940055047
20940 118012083      060120118907509103055016025013000     174202001502118015012
20940 118012083      06112071551852024011500503408607110441301717814304537153129
20940 118012083      062101423106007081070027027000000     003101601202722011009
20940 118012083      063101820608710113090020034036004     003504203203529029023
20940 118012083      064104623109511130110038048051014     003405904504335040033
20940 118012083      06510612001181315811001204006603710511203508506604335061051
20940 118012083      066108523112514149125014040078048     001710508304940075063
20940 118012083      06711562281001114809500502604801710681203305604303730039032
20940 118012083      06811732441902026313000504209808210671552721116805142180153
20940 118012083      069121524714115172120004038080057     672712209604738093078
20940 118012083      07010262910971113009001003004301310831273705003903529035029
20940 118012083      071103827006007084080017040000000     004201801403126013010
20940 118012083      07210492521771923312500704109207510731402718114404940151128
20940 118012083      07310602721201317512501603807504410721013709907604940069059
20940 118012083      074107827306307075041004016001000     055101100701613009007
20940 118012083      075111428725727322145011045117107     602737430305746358309
20940 118012083      076113025714516196130012055088064     301713810905142106090
20940 118012083      077114129813615180130014047085058     203712509805142092079
20940 118012083      078115127006508090080017035005000     004102201603126015012
20940 118012083      07911832691101214510000903505602710801103706905303932049041
20940 118012083      08011942590861011509003603603500310791073304103103529028023
20940 118012083      081121327407509110090006032022000     081703202403529021017
20940 118012083      082123526508009108070009020022000     174402802102722020016
20940 118012083      08330213131761723312002102107506010701571216813104738127106
20940 118012083      084107530024926330140012048112102     782734427905545329283
20940 118012083      085109333206007084055020027000000     005101300902118010008
20940 118012083      086109931213014184130009042083054     203711709105142084072
20940 118012083      087112132807308097085010039018000     001502902103327020016
20940 118012083      088113631305507072060008027000000     004101100802319009007
20940 118012083      089115334317218247135001050098079     402718814905343153131
20940 118012083      090116232012213167125015050076045     101710107904940073062
20940 118012083      091218532206808088055005015003000     003101701202118012009
20940 118012083      092121031210011134105010042053019     143406204704134043035
20940 118012083      093321434610410140105027035045023     381405504704134041034
20940 118012083      09412253241471622112501605008506220961303513610604940105089
20940 118012083      09512313071621721315001006510708320951302618915005948150130
20940 118012083      09612413241601721013001705509207120941502716112705142130111
20940 118012083      097101038414315186110011029074053     301711409004335088074
20940 118012083      098102539913014160120010033077050     203710808404738078066
20940 118012083      09910413780640708406002502500300011001055101601102319012009
20940 118012083      10010553801811923112000704608907310991402718014304738155131
20940 118012083      101107537710211139095010037049019     173305804503730041034
20940 118012083      102109438410512138100012041053023     103706404903932045037
20940 118012083      10311023601771923513000504109507821061582718915005142155132
20940 118012083      10411063780780910408501504302400011031004203302503327022018
20940 118012083      105111637005907082070011030000000     094101501102722011009
20940 118012083      10611223531251416011000704006804211031673309207304335068057
20940 118012083      107313238517317202100022038060050     441313510603932105087
20940 118012083      108116035508810137085018042034004     184304103103327029023
20940 118012083      109117237306508102075017037005000     004402001502924014011
20940 118012083      110317438409510136100034034045010     273304503903932033027
20940 118012083      111117635705406083065025038000000     003101200802521009007
20940 118012083      112119738013815191130015055086059     301712910005142096082
20940 118012083      11312173971481620712500405508606311153303613810804940108092
20940 118012083      11422223840620808605000601700000011153095101300902016009007
20940 118012083      11512383501131214010000704505703021143293107205503932053044
20940 118012083      116124335810812139120015065066031     103608006104738056048
20940 118012083      117124339115717205130007060091070     303715612405142126107
20940 118012083      118125036810011140110010050055020     173506505004335045037
