21045 244008052      002100700805206077060015030000000     004101000702319008006
21045 244008052      00310150220500606606501403300000010042104101000702521008006
21045 244008052      00410220180901012107500403302400610032203703702802924027022
21045 244008052      00510220370700808907501903700700010061183402401702924017013
21045 244008052      00610250490760910207500703701200020051303102802002924019015
21045 244008052      00710380230740810008000703601100010082203102802103126019016
21045 244008052      00810470320800910307500203001600010072403603002302924021017
21045 244008052      009104900206608098065000029003000     374101801302521013010
21045 244008052      010106601306608080060005023002000     153101701202319012010
21045 244008052      01110770441701821112000803808306510122602716313004738135114
21045 244008052      01210800320971113707500502702801110112305204203202924031025
21045 244008052      01310960040931013907000702502400810141103703602802722027022
21045 244008052      01411130050780911007500502101400010131183402902202924020016
21045 244008052      015111403605607079060010023000000     104101200802319009007
21045 244008052      016112804705807075060019033000000     104101300902319010008
21045 244008052      017113301211012152085011026040023     302705904503327043035
21045 244008052      01811590160820912807000101901600010191283402902202722021017
21045 244008052      01911610270851012208000503302100220202303103602703126025020
21045 244008052      02011720331101215608501603104002320192302705904503327044036
21045 244008052      02111780430660808908001904000300010201104102201603126015012
21045 244008052      022120000706107084060010027000000     103101401002319011008
21045 244008052      023121602207108098060006027006000     203701901402319015011
21045 244008052      024122405005306071046010017000000     204100800601815007005
21045 244008052      02510050560810909707502002901700010263203103102302924022017
21045 244008052      02610130610981112508000803203101320253303704603403126033027
21045 244008052      02710180921121212107500702903602110301203505304102924042034
21045 244008052      02810310620901012208000403402500630311203603903003126028023
21045 244008052      02910320840540607006500502400000010302104101200802521009007
21045 244008052      03010391001471620410000702506304730653702710908503932086072
21045 244008052      03110450680700810207001102800600020332203102201602722016012
21045 244008052      03210530890570707506000502600000010652104101300902319009007
21045 244008052      03310540630640709207501604200200010311103102001402924014011
21045 244008052      03410700770901012108001804002500610351203603903003126029023
21045 244008052      03510730850840912008001903602000110341103103502603126025020
21045 244008052      03610740640760910907501703801200010371203102802002924019015
21045 244008052      03710840670981113007000302302701110361203304003002722030024
21045 244008052      038109008405507081060020024000000     104101100802319009007
21045 244008052      039110007411312168110005047053032     302707906104335057048
21045 244008052      040111008207108104070005030007000     204102201702722016013
21045 244008052      041111505906307097070015024001000     103501801302722012010
21045 244008052      042111710005206068055005023000000     104100900602118007006
21045 244008052      04311280841491621010501503306705010443702711709104134093078
21045 244008052      04411320730520607706000302900000010433104101000702319008006
21045 244008052      04511480560840911907501303401900120472203303302502924024019
21045 244008052      04611500660700809707001503900600010452103102201602722016013
21045 244008052      04711590501151314008500303004202610452402706304803327048039
21045 244008052      04811610900921013509501804003200910491302504803703730034028
21045 244008052      04911720870780910908002004101500020502104103102303126022017
21045 244008052      05011810811281416509500703905303720513582708406503730065054
21045 244008052      05111830720620709906500403200000010503205101601202521012009
21045 244008052      05211910970660810005501002100200010872104101501102118012009
21045 244008052      053119205305907086060006024000000     103101301002319010008
21045 244008052      05412000620700810606000403400500010551103601901402319014011
21045 244008052      05512080690600708006501602600000010541103101501102521011008
21045 244008052      056123306209210134065004016022006     203703302502521025020
21045 244008052      05712380810901012009001103902800720583303104403303529031025
21045 244008052      05812400941201317009001702504703140943404107105503529054044
21045 244008052      05912470861251415812003305006504520582302610107904738074062
21045 244008052      060100111805306076060006022000000     154101100702319008006
