outputFiles/varyCraneRadiusPMachine_Wed_Jun_1_15:54:31_2011.txt
terraintype: 2variation of crane inner and outer radius for the plantMachine
iterations		meanProd 		 stdOfMean 		 stdOverall 		 InnerR 		 OuterR
####
20		599.278330		12.888521		57.639218		4.000000		9.000000
20		600.910742		13.579187		60.727972		4.000000		9.214286
20		585.611925		11.730473		52.460271		4.000000		9.428571
20		623.545442		12.129845		54.246315		4.000000		9.642857
20		626.462664		12.868745		57.550777		4.000000		9.857143
20		649.034273		13.709666		61.311490		4.000000		10.071429
20		684.839122		13.992864		62.577988		4.000000		10.285714
20		652.345714		13.115221		58.653050		4.000000		10.500000
20		700.190507		10.399188		46.506583		4.000000		10.714286
20		702.472848		12.953433		57.929511		4.000000		10.928571
20		715.335992		12.745829		57.001080		4.000000		11.142857
20		714.298678		14.571731		65.166761		4.000000		11.357143
20		725.137763		8.279104		37.025278		4.000000		11.571429
20		739.450912		10.879088		48.652762		4.000000		11.785714
20		759.732423		12.217137		54.636697		4.000000		12.000000
